n	ExhaustiveSearch	RectangleMap	PersistentSegmentTree
1	0	7	8	
2	0	7	13	
4	1	16	44	
8	2	27	85	
16	5	82	219	
32	13	255	497	
64	52	1693	1324	
128	190	13317	3380	
256	763	104992	7247	
512	3028	821505	15977	
1024	13443	7008330	35646	
2048	68360	66593372	97304	
4096	276071	0	208908	
8192	1120323	0	451304	
16384	4514277	0	989090	
32768	17892653	0	2121827	
65536	67811399	0	4561393	
131072	293481951	0	9939262	
